video_id,title,description,url,channel_title,published_at,transcript,clips_extracted,clips_published,processing_status,processing_date,error_message
-AjokC2IQaA,Success strategies for the aesthetic dental practice during COVID19 era,The authors of Success strategies for the aesthetic dental practice - Dr Cathy and Linda were discussing their success strategies ...,https://www.youtube.com/watch?v=-AjokC2IQaA,Linda Greenwall,2020-05-19T23:04:49Z,- do not Oh people are still messaging to join Diane so I'm going to I'm just messaging them to you okay okay okay and Terry Beshear is coming in and yeah just as we are just for them all to you and we are getting you've recorded and we are going to introduce Kathy now donate this right right so I'd like to welcome everybody today to our webinar we're very excited that you are joining us and we wanted to have time with Kathy to be able to talk to her about all the issues that dentists are facing...,0,0,completed,2025-07-07T04:48:18.582957,No suitable clips found
IC3wMpfLo30,How to Eliminate Sensitivity During Teeth Whitening - PDP199,Follow THESE protocols to eliminate teeth whitening sensitivity in your practice - your patients will love you. Have you ever had a ...,https://www.youtube.com/watch?v=IC3wMpfLo30,Jaz Gulati - Protrusive Dental Podcast,2024-10-10T05:54:14Z,any discolored tooth needs a par epical radiograph really really important because you are looking for undiagnosed par condition conditions and most dentists don't know if there is an undiagnosed peric lesion and you put Whitening Gel into so you take oxygen and you shove it into an anerobic area you are going to have Max of sensitivity cuz I think a lot of dentists are afraid of doing that because they're afraid of not being able to adequately bleach the survical area so here's another point yo...,0,0,processing,2025-07-07T04:48:24.756674,
pD304tjW_Mc,MIH Treatment: New MIH Guidance for Kids &amp; Whitening?,Dr. Linda Greenwall discusses the latest changes and guidance regarding MIH (Molar Incisor Hypomineralisation) treatment and ...,https://www.youtube.com/watch?v=pD304tjW_Mc,Dental Advisor,2025-07-06T23:17:11Z,new stuff and I also want to talk about um widening for children with the changes in the legislation because there's some new plans and some new guidance that have been issued by um the pediatric the British pediatric society G....,10,0,completed,2025-07-07T05:06:10.500277,
BrwsRaONO4U,New MIH Guidance for Kids: Dr. Greenwall Explains!,Worried about MIH? Dr. Greenwall shares the latest guidance from the British Paediatric Society. Learn about managing Molar ...,https://www.youtube.com/watch?v=BrwsRaONO4U,Dental Advisor,2025-07-06T23:37:52Z,some new guidance that have been issued by um the pediatric the British pediatric society....,11,0,completed,2025-07-07T05:16:32.083480,
BrwsRaONO4U,New MIH Guidance for Kids: Dr. Greenwall Explains!,Worried about MIH? Dr. Greenwall shares the latest guidance from the British Paediatric Society. Learn about managing Molar ...,https://www.youtube.com/watch?v=BrwsRaONO4U,Dental Advisor,2025-07-06T23:37:52Z,...,0,0,failed,2025-07-07T05:29:16.972320,No transcript available
BrwsRaONO4U,New MIH Guidance for Kids: Dr. Greenwall Explains!,Worried about MIH? Dr. Greenwall shares the latest guidance from the British Paediatric Society. Learn about managing Molar ...,https://www.youtube.com/watch?v=BrwsRaONO4U,Dental Advisor,2025-07-06T23:37:52Z,...,0,0,failed,2025-07-07T05:29:16.972320,No transcript available
Fmd-Fyl4gcQ,New MIH Guidance for Kids &amp; Whitening?,Dr. Linda Greenwall discusses the latest changes and guidance regarding MIH (Molar Incisor Hypomineralisation) treatment and ...,https://www.youtube.com/watch?v=Fmd-Fyl4gcQ,Dental Advisor,2025-07-06T23:17:35Z,...,0,0,processing,2025-07-07T05:29:22.082986,
Fmd-Fyl4gcQ,New MIH Guidance for Kids &amp; Whitening?,Dr. Linda Greenwall discusses the latest changes and guidance regarding MIH (Molar Incisor Hypomineralisation) treatment and ...,https://www.youtube.com/watch?v=Fmd-Fyl4gcQ,Dental Advisor,2025-07-06T23:17:35Z,...,0,0,processing,2025-07-07T05:37:03.647128,
Fmd-Fyl4gcQ,New MIH Guidance for Kids &amp; Whitening?,Dr. Linda Greenwall discusses the latest changes and guidance regarding MIH (Molar Incisor Hypomineralisation) treatment and ...,https://www.youtube.com/watch?v=Fmd-Fyl4gcQ,Dental Advisor,2025-07-06T23:17:35Z,new stuff and I also want to talk about um widening for children with the changes in the legislation because there's some new plans and some new guidance that have been issued by um the pediatric the British pediatric society G....,0,0,processing,2025-07-07T05:38:38.847390,
Fmd-Fyl4gcQ,New MIH Guidance for Kids &amp; Whitening?,Dr. Linda Greenwall discusses the latest changes and guidance regarding MIH (Molar Incisor Hypomineralisation) treatment and ...,https://www.youtube.com/watch?v=Fmd-Fyl4gcQ,Dental Advisor,2025-07-06T23:17:35Z,...,0,0,processing,2025-07-07T05:39:55.154977,
